eps_p    eps_q    p        q        eps_1    eps_2    sigma_1  sigma_2  epor     stateVar2
-0.08851 0.17600  721.1    1265.2   0.14650  -0.11750 1564.6   299.3    0.85399  0.00000 
-0.08911 0.17700  721.1    1265.2   0.14730  -0.11820 1564.6   299.3    0.85511  0.00000 
-0.08971 0.17800  721.1    1265.2   0.14810  -0.11890 1564.6   299.3    0.85622  0.00000 
-0.09032 0.17900  721.1    1265.2   0.14889  -0.11961 1564.6   299.3    0.85734  0.00000 
-0.09092 0.18000  721.1    1265.2   0.14969  -0.12031 1564.6   299.3    0.85846  0.00000 
-0.09152 0.18100  721.1    1265.2   0.15049  -0.12101 1564.6   299.3    0.85958  0.00000 
-0.09213 0.18200  721.1    1265.2   0.15129  -0.12171 1564.6   299.3    0.86071  0.00000 
-0.09273 0.18300  721.1    1265.2   0.15209  -0.12241 1564.6   299.3    0.86183  0.00000 
-0.09333 0.18400  721.1    1265.2   0.15289  -0.12311 1564.6   299.3    0.86295  0.00000 
-0.09394 0.18500  721.1    1265.2   0.15369  -0.12381 1564.6   299.3    0.86407  0.00000 
-0.09454 0.18600  721.1    1265.2   0.15449  -0.12451 1564.6   299.3    0.86520  0.00000 
-0.09514 0.18700  721.1    1265.2   0.15529  -0.12521 1564.6   299.3    0.86632  0.00000 
-0.09574 0.18800  721.1    1265.2   0.15609  -0.12591 1564.6   299.3    0.86745  0.00000 
-0.09635 0.18900  721.1    1265.2   0.15688  -0.12662 1564.6   299.3    0.86857  0.00000 
-0.09695 0.19000  721.1    1265.2   0.15768  -0.12732 1564.6   299.3    0.86970  0.00000 
-0.09755 0.19100  721.1    1265.2   0.15848  -0.12802 1564.6   299.3    0.87083  0.00000 
-0.09816 0.19200  721.1    1265.2   0.15928  -0.12872 1564.6   299.3    0.87196  0.00000 
-0.09876 0.19300  721.1    1265.2   0.16008  -0.12942 1564.6   299.3    0.87308  0.00000 
-0.09936 0.19400  721.1    1265.2   0.16088  -0.13012 1564.6   299.3    0.87421  0.00000 
-0.09997 0.19500  721.1    1265.2   0.16168  -0.13082 1564.6   299.3    0.87534  0.00000 
-0.10057 0.19600  721.1    1265.2   0.16248  -0.13152 1564.6   299.3    0.87648  0.00000 
-0.10117 0.19700  721.1    1265.2   0.16328  -0.13222 1564.6   299.3    0.87761  0.00000 
-0.10177 0.19800  721.1    1265.2   0.16408  -0.13292 1564.6   299.3    0.87874  0.00000 
-0.10238 0.19900  721.1    1265.2   0.16487  -0.13363 1564.6   299.3    0.87987  0.00000 
-0.10298 0.20000  721.1    1265.2   0.16567  -0.13433 1564.6   299.3    0.88101  0.00000 
